,gameID,playerID,decision,savePercentage,PPSave%,evenSave%,play_id,strength,gameWinningGoal,emptyNet,PKSavePercentage
30273,2006020991.0,8469514.0,W,100.0,100.0,100.0,2012020105_161,Even,False,False,100.0
37429,2005020306.0,8464999.0,W,91.89189189,92.30769231,91.30434783,2012020686_124,Power Play,True,False,100.0
37475,2005020121.0,8460712.0,W,97.36842105,90.0,100.0,2012020406_215,Even,False,False,100.0
37474,2005020121.0,8462117.0,L,93.33333333,88.88888889,94.44444444,2012020406_213,Power Play,False,False,100.0
37468,2005020026.0,8445386.0,L,80.0,33.33333333,85.0,2012020493_291,Even,False,False,100.0
37465,2005020480.0,8462052.0,L,89.18918919,90.0,88.46153846,2012020493_112,Even,False,False,100.0
37464,2005021047.0,8469658.0,W,92.85714286,80.0,95.23809524,2012020493_25,Power Play,False,False,100.0
37463,2005021047.0,8468550.0,L,79.31034483,66.66666667,84.21052632,2012020426_245,Even,False,False,100.0
37460,2005021151.0,8468011.0,W,94.11764706,75.0,96.55172414,2012020426_149,Power Play,False,False,100.0
37458,2005020287.0,8466141.0,L,91.11111111,84.61538462,93.33333333,2013020878_239,Even,False,True,100.0
37457,2005020571.0,8469675.0,W,88.88888889,100.0,87.5,2013020878_215,Power Play,False,False,100.0
37456,2005020571.0,8460535.0,L,89.18918919,90.90909091,88.0,2013020878_210,Power Play,False,False,100.0
37452,2005020956.0,8468685.0,L,90.32258065,80.0,95.0,2013020921_272,Power Play,True,False,100.0
37451,2005020956.0,8470140.0,W,94.28571429,90.90909091,95.65217391,2013020921_231,Even,False,False,100.0
37450,2005020059.0,8468685.0,W,95.23809524,100.0,93.75,2013020921_202,Even,False,False,100.0
37447,2005020731.0,8466290.0,W,88.23529412,88.88888889,86.36363636,2013020229_279,Even,False,True,100.0
37442,2005020309.0,8468685.0,W,94.11764706,75.0,96.55172414,2013020229_72,Even,False,False,100.0
37437,2005021051.0,8460715.0,W,86.95652174,60.0,94.11764706,2013020837_56,Power Play,False,False,100.0
37434,2005020030.0,8468685.0,L,88.88888889,87.5,88.88888889,2012020237_233,Even,True,False,100.0
37432,2005020361.0,8445386.0,W,97.14285714,93.33333333,100.0,2012020237_96,Even,False,False,100.0
37431,2005021186.0,8469461.0,W,96.2962963,100.0,95.45454545,2012020686_184,Even,False,False,100.0
37476,2005020644.0,8462147.0,L,91.66666667,85.71428571,92.30769231,2013020241_278,Power Play,False,False,100.0
37477,2005020644.0,8468481.0,W,93.33333333,80.0,95.83333333,2013020241_304,Power Play,False,False,100.0
37479,2005020166.0,8460712.0,L,83.87096774,70.0,90.0,2012020333_29,Even,False,False,100.0
37504,2005020848.0,8460612.0,L,84.84848485,66.66666667,88.0,2013020994_105,Power Play,False,False,100.0
37522,2005020528.0,8445386.0,W,97.05882353,100.0,95.0,2012020351_78,Even,False,False,100.0
37521,2005020528.0,8455710.0,L,92.59259259,80.0,95.23809524,2012020351_15,Even,False,False,100.0
37516,2005020576.0,8468011.0,L,90.0,80.0,92.85714286,2013020448_256,Even,False,False,100.0
37515,2005020576.0,8466141.0,W,96.55172414,100.0,90.90909091,2013020448_171,Even,True,False,100.0
37514,2005020911.0,8448535.0,W,95.23809524,100.0,93.10344828,2013020824_269,Power Play,False,False,100.0
37509,2005020438.0,8470084.0,L,93.75,90.0,94.73684211,2013020260_247,Even,False,False,100.0
37506,2005020217.0,8460806.0,W,97.22222222,100.0,96.15384615,2013020260_15,Even,False,False,100.0
37505,2005020848.0,8462117.0,W,88.88888889,100.0,85.71428571,2013020994_192,Even,True,False,100.0
37501,2005020181.0,8459140.0,L,80.0,50.0,86.66666667,2013020086_315,Even,False,False,100.0
37480,2005020933.0,8469514.0,W,96.2962963,100.0,96.0,2012020333_137,Short Handed,False,False,100.0
37498,2005020798.0,8469658.0,W,100.0,100.0,100.0,2013020086_45,Even,False,False,100.0
37497,2005020798.0,8460703.0,L,96.42857143,80.0,100.0,2012020088_311,Even,False,False,100.0
37496,2005020998.0,8470140.0,L,85.18518519,85.71428571,82.35294118,2012020088_197,Even,False,False,100.0
37495,2005020998.0,8467511.0,W,92.59259259,87.5,94.11764706,2012020088_190,Power Play,False,False,100.0
37494,2005020897.0,8470140.0,W,93.75,77.77777778,100.0,2012020088_182,Power Play,True,False,100.0
37493,2005020897.0,8448535.0,L,91.17647059,91.66666667,89.47368421,2012020088_57,Even,False,False,100.0
37489,2005020785.0,8469658.0,L,94.44444444,81.81818182,100.0,2012020075_242,Power Play,False,False,100.0
37482,2005020918.0,8460715.0,W,85.18518519,77.77777778,86.66666667,2012020333_208,Even,False,False,100.0
37430,2005021186.0,8469479.0,L,87.09677419,80.0,87.5,2012020686_132,Even,False,False,100.0
37425,2005020265.0,8460612.0,W,97.56097561,100.0,96.42857143,2012020354_193,Even,False,False,100.0
37526,2005020567.0,8468166.0,L,96.2962963,100.0,95.0,2013020751_24,Even,False,False,100.0
37424,2005021036.0,8459579.0,L,78.57142857,0.0,81.81818182,2012020354_7,Even,True,False,100.0
37380,2005020819.0,8466141.0,W,100.0,100.0,100.0,2013020054_98,Power Play,False,False,100.0
37375,2005021099.0,8469548.0,L,96.875,85.71428571,100.0,2013020031_58,Power Play,True,False,100.0
37371,2005020601.0,8466290.0,W,94.28571429,85.71428571,96.2962963,2013020570_228,Even,False,False,100.0
37369,2005021223.0,8462047.0,W,100.0,100.0,100.0,2013020570_36,Power Play,False,False,100.0
